id;municipio;zona;inep;unidade;logradouro;numero;complemento;bairro;cep;estado_id;municipio_id
1;Amapá;Rural;16000820;ESC EST ANTONIO TEIXEIRA GUERRA;VILA DO SUCURIJU;S/N;;;68950000;4;209
2;Amapá;Rural;16000676;ESC EST BOM JESUS DO ARAGUARI;COMUNIDADE BOM JESUS DO ARAGUARI;S/N;;S/B;68950000;4;209
3;Amapá;Rural;16000684;ESC EST ROZENDO NASCIMENTO FILHO;ASSENTAMENTO DO PIQUIA;;;;68950000;4;209
4;Amapá;Rural;16000722;ESC EST SAO RAIMUNDO DO ARAGUARI;MARGEM ESQUERDADO RIO ARAGAURI.;S/N;COMUNIDADE RIBEIRINHA;;68950000;4;209
5;Amapá;Urbana;16000706;ESC EST PROF MARIA ESMERALDA MARTINS DE MOURA;RUA GUARANI;0743;;SETE MANGUEIRAS;68950000;4;209
6;Amapá;Urbana;16000641;ESC EST VEIGA CABRAL;AV. FAB;172;;CENTRO;68950000;4;209
7;Amapá;Urbana;16000749;ESC EST VIDAL DE NEGREIROS;AVENIDA DESIDERIO ANTONIO COELHO;470;ESCOLA;SETE MANGUEIRAS;68950000;4;209
8;Calçoene;Rural;16000030;ESC EST IVANILDO FORTES DA SILVA;RUA DA PAZ;;BR 156;VILA DO CARNOT;68960000;4;209
9;Calçoene;Rural;16000170;ESC EST JUVENAL GUIMARAES TEIXEIRA;AV JOSE LOURENCO;580;;CENTRO;68970000;4;209
10;Calçoene;Urbana;16000048;ESC EST AMARO BRASILINO DE F FILHO;AV EULALIO MODESTO;2408;;BEIRA RIO;68960000;4;209
11;Calçoene;Urbana;16000080;ESC EST JOSE RODRIGUES CORDEIRO;AVENIDA MANOEL SARMENTO;0709;PROXIMO A CEA;CEA;68960000;4;209
12;Calçoene;Urbana;16000064;ESC EST PROF SILVIO ELITO DE LIMA SANTOS;AVENIDA MANOEL SARMENTO;266;;CEA;68960000;4;209
13;Cutias;Rural;16001443;ESC EST CREIO EM DEUS DO ARAGUARI;COMUNIDADE CREIO EM DEUS DO ARAGURI;S/N;;;68973000;4;209
14;Cutias;Rural;16001478;ESC EST MARIO ALVES MEIRA;RUA PRINCIPAL DO LIVRAMENTO;514;DISTRITO LIVRAMENTO;CENTRO;68973000;4;209
15;Cutias;Rural;16001486;ESC EST ORLANDO MENDES DIAS;COMUNIDADE SAO PAULO DO RIO ARAGUARI;S/N;ESCOLA;COMUNIDADE SAO PAULO DO ARAGUARI;68973000;4;209
16;Cutias;Rural;16001494;ESC EST PRACUUBA DO ARAGUARI;COMUNIDADE PRACUUBA DO ARAGUARI;S/N;;CUTIAS;68973000;4;209
17;Cutias;Rural;16001400;ESC EST PROF JOSE RIBEIRO PONTES;RUA RIO GURUPORA;1085;COMUNIDADE GURUPORA;CENTRO;68973000;4;209
18;Cutias;Urbana;16001451;ESC EST LOURIMAR SIMOES PAES;RUA LEOVERGIO TOLOSA SOARES;624;;CENTRO;68973000;4;209
19;Ferreira Gomes;Rural;16001605;ESC EST INDEPENDENCIA;BR 156, KM 130.;1038;HIDRELETRICA;PAREDAO-FERREIRA GOMES;68915000;4;209
20;Ferreira Gomes;Rural;16001591;ESC EST TRACAJATUBA DO ARAGUARI;RETIRO SANTA ROSA MARGEM DIREITA DO RIO TRACAJATUBA;47;DISTRITO;;68915000;4;209
21;Ferreira Gomes;Rural;16001583;ESCOLA ESTADUAL MARIA ENEDINA MARQUES COSTA;MARGEM DIREITA DO RIO ARAGUARI;S/N;RIBEIRINHA;COMUNIDADE NOVA ESPERANCA;68915000;4;209
22;Ferreira Gomes;Rural;16001575;ESCOLA ESTADUAL PEDRO ROLDAO FIGUEIREDO;MARGEM ESQUERDA DO RIO ARAGUARI;SEM NUMERO;;COMUNIDADE TRIUNFO;68915000;4;209
23;Ferreira Gomes;Urbana;16001567;ESC EST PROF MARIA IRACI TAVARES;RUA DUQUE DE CAXIAS;521;PREDIO;CENTRO;68915000;4;209
24;Itaubal;Rural;16001800;ESC EST ADELANO NUNES LACERDA;COMUNIDADE URUA;S/N;;;68976000;4;209
25;Itaubal;Rural;16001680;ESC EST ANA CLAUDINA PICANCO;COMUNIDADE CARMO DO MACACOARI;1133;;CENTRO;68976000;4;209
